TICKER,NAME,DESIGNATION,SECTEUR,HREF_BOURSORAMA,HREF_RENDEMENTBOURSE,PEA,PEA-PME,ISIN,DIVIDENDE
ALVDM,VOYAGEURS DU MONDE,Voyageurs du Monde SA,Consommation discrétionnaire,/cours/1rEPALVDM/,/alvdm-voyageurs-du-monde,True,True,FR0004045847,True
VRAP,VRANKEN-POMMERY,Vranken-Pommery Monopole Société Anonyme,Consommation de base,/cours/1rPVRAP/,/vrap-vranken-pommery,True,True,FR0000062796,True
WAVE,WAVESTONE,Wavestone SA,Technologies,/cours/1rPWAVE/,/wave-wavestone,True,True,FR0013357621,True
ALWEC,WE.CONNECT,We.Connect SA,Technologies,/cours/1rPALWEC/,/alwec-we-connect,True,True,FR0013079092,True
ALWED,WEDIA,Wedia SA,Technologies,/cours/1rEPALWED/,/alwed-wedia,True,,FR0010688440,True
MF,WENDEL,Wendel,Finance,/cours/1rPMF/,/mf-wendel,True,,FR0000121204,True
ADOC,ADOCIA,Adocia SA,Santé,/cours/1rPADOC/,/adoc-adocia,True,True,FR0011184241,
AF,AIR FRANCE -KLM,Air France-KLM SA,Industrie,,/af-air-france-klm-sa,True,,FR0000031122,
ATO,ATOS,Atos SE,Technologies,/cours/1rPATO/,/ato-atos,True,,FR0000051732,
CGG,CGG,CGG,Energie,/cours/1rPCGG/,/cgg-cgg,True,,FR0013181864,
CLARI,CLARIANE SE,Clariane SE,Santé,/cours/1rPCLARI/,/clari-clariane-se,,,FR0010386334,
DSY,DASSAULT SYSTEMES,Dassault Systèmes SE,Technologies,,/dsy-dassault-systemes-sa,True,,FR0000130650,
ELIOR,ELIOR GROUP,Elior Group SA,Consommation discrétionnaire,/cours/1rPELIOR/,/elior-elior-group,True,,FR0011950732,
EAPI,EUROAPI SA,Euroapi S.A.,Santé,/cours/1rPEAPI/,/eapi-euroapi-sa,,,FR0014008VX5,
FRVIA,FORVIA,Forvia SE,Consommation discrétionnaire,/cours/1rPFRVIA/,/frvia-forvia,,,FR0000121147,
IDL,ID LOGISTICS GROUP,ID Logistics Group SA,Industrie,/cours/1rPIDL/,/idl-id-logistics-group,True,,FR0010929125,
DEC,JCDECAUX SE,JCDecaux SE,Communication,/cours/1rPDEC/,/dec-jc-decaux-sa,True,,FR0000077919,
ALLDL,GROUPE LDLC,Groupe LDLC société anonyme,Consommation discrétionnaire,/cours/1rPALLDL/,/alldl-groupe-ldlc,,,FR0000075442,
ALMRB,MR BRICOLAGE,Mr.Bricolage S.A.,Consommation discrétionnaire,/cours/1rPALMRB/,/almrb-mr-bricolage,,,FR0004034320,
NEOEN,NEOEN,Neoen S.A.,Services aux collectivités,/cours/1rPNEOEN/,/neoen-neoen-s-a,True,,FR0011675362,
ORP,ORPEA,Orpea SA,Santé,/cours/1rPORP/,/orp-orpea,True,,FR0000184798,
OVH,OVH,OVH Groupe S.A.,Technologies,/cours/1rPOVH/,/ovh-ovh-group-sas,,,FR0014005HJ9,
ALPAR,GROUPE PAROT,Groupe Parot SA,Consommation discrétionnaire,/cours/1rPALPAR/,/alpar-gpe-parot-auto,,,FR0013204070,
VAC,PIERRE VACANCES,Pierre et Vacances SA,Consommation discrétionnaire,/cours/1rPVAC/,/vac-pierre-vacances,True,,FR0000073041,
PVL,PLAST.VAL LOIRE,Plastiques du Val de Loire,Consommation discrétionnaire,/cours/1rPPVL/,/pvl-plast-val-loire,True,True,FR0013252186,
SESL,SES IMAGOTAG,SES-imagotag Société Anonyme,Technologies,/cours/1rPSESL/,/sesl-ses-imagotag,True,True,FR0010282822,
SRP,SHOWROOMPRIVE,SRP Groupe S.A.,Consommation discrétionnaire,/cours/1rPSRP/,/srp-showroomprive,True,True,FR0013006558,
SOI,SOITEC,Soitec SA,Technologies,/cours/1rPSOI/,/soi-soitec,True,True,FR0013227113,
S30,SOLUTIONS 30 SE,Solutions 30 SE,Technologies,/cours/1rPS30/,/s30-solutions-30-se,,,FR0013379484,
SOLB,SOLVAY,Solvay SA,Matériaux,/cours/1rPSOLB/,/solb-solvay-sa,,,BE0003470755,
UBI,UBISOFT ENTERTAIN,Ubisoft Entertainment SA,Communication,/cours/1rPUBI/,/ubi-ubisoft-entertain,True,,FR0000054470,
VK,VALLOUREC,Vallourec S.A.,Matériaux,/cours/1rPVK/,/vk-vallourec-sa,True,,FR0013506730,
VLA,VALNEVA SE,Valneva SE,Santé,/cours/1rPVLA/,/vla-valneva,True,True,FR0004056851,
VIRP,VIRBAC,Virbac SA,Santé,/cours/1rPVIRP/,/virp-virbac,True,True,FR0000031577,
ALVGO,VOGO,Vogo SA,Technologies,/cours/1rPALVGO/,/alvgo-vogo,,,FR0011532225,
VLTSA,VOLTALIA,Voltalia SA,Services aux collectivités,/cours/1rPVLTSA/,/vltsa-voltalia,True,,FR0011995588,
WLN,WORLDLINE,Worldline SA,Technologies,/cours/1rPWLN/,/wln-worldline-sa,True,,FR0011981968,
XFAB,X-FAB SILICON FOUNDRIES SE,X-FAB Silicon Foundries SE,Technologies,/cours/1rPXFAB/,/xfab-x-fab,True,,BE0974310428,
ALDBT,DBT,DBT SA,Industrie,,/aldbt-dbt,True,True,FR0013066750,
