TICKER,NAME,DESIGNATION,SECTEUR,HREF_BOURSORAMA,HREF_RENDEMENTBOURSE,PEA,PEA-PME,ISIN,DIVIDENDE
ITP,INTERPARFUMS,Interparfums SA,Consommation de base,/cours/1rPITP/,/itp-interparfums,True,,FR0004024222,True
IPN,IPSEN,Ipsen S.A.,Santé,/cours/1rPIPN/,/ipn-ipsen,True,,FR0010259150,True
IPS,IPSOS,Ipsos SA,Communication,/cours/1rPIPS/,/ips-ipsos-sa,True,,FR0000073298,True
JBOG,JACQUES BOGART,Jacques Bogart S.A.,Consommation de base,/cours/1rPJBOG/,/jbog-jacques-bogart,True,True,FR0012872141,True
JCQ,JACQUET METALS,Jacquet Metals SA,Matériaux,/cours/1rPJCQ/,/jcq-jacquet-metal-sce,True,True,FR0000033904,True
KOF,KAUFMAN ET BROAD,Kaufman & Broad S.A.,Consommation discrétionnaire,/cours/1rPKOF/,/kof-kaufman-et-broad,True,True,FR0004007813,True
KER,KERING,Kering SA,Consommation discrétionnaire,/cours/1rPKER/,/ker-kering,True,,FR0000121485,True
LOUP,L.D.C.,L.D.C. S.A.,Consommation de base,/cours/1rPLOUP/,/loup-ldc,True,,FR0013204336,True
OR,L'OREAL,L'Oréal S.A.,Consommation de base,/cours/1rPOR/,/or-l-oreal,True,,FR0000120321,True
LACR,LACROIX GROUP,LACROIX Group SA,Technologies,/cours/1rPLACR/,/lacr-lacroix-sa,True,True,FR0000066607,True
MMB,LAGARDERE SA,Lagardere SA,Consommation discrétionnaire,/cours/1rPMMB/,/mmb-lagardere,True,,FR0000130213,True
LPE,LAURENT-PERRIER,Laurent-Perrier S.A.,Consommation de base,/cours/1rPLPE/,/lpe-laurent-perrier,True,True,FR0006864484,True
LSS,LECTRA,Lectra SA,Technologies,/cours/1rPLSS/,/lss-lectra,True,True,FR0000065484,True
LR,LEGRAND,Legrand SA,Industrie,/cours/1rPLR/,/lr-legrand-sa,True,,FR0010307819,True
ALLHB,LES HOTELS BAVEREZ,Les Hôtels Baverez S.A.,Consommation discrétionnaire,/cours/1rPALLHB/,/allhb-les-hotels-baverez,True,True,FR0007080254,True
LIN,LINEDATA SERVICES,Linedata Services S.A.,Technologies,/cours/1rPLIN/,/lin-linedata-services,True,True,FR0004156297,True
FII,LISI,Lisi S.A.,Industrie,/cours/1rPFII/,/fii-lisi,True,,FR0000050353,True
LNA,LNA SANTE,LNA Santé SA,Santé,/cours/1rPLNA/,/lna-lna-sante,True,True,FR0004170017,True
MC,LVMH,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consommation discrétionnaire,/cours/1rPMC/,/mc-lvmh,True,,FR0000121014,True
MRM,M.R.M,MRM,Immobilier,,/mrm-m-r-m,True,,FR0000060196,True
MDM,MAISONS DU MONDE,Maisons du Monde S.A.,Consommation discrétionnaire,/cours/1rPMDM/,/mdm-maison-du-monde,True,,FR0013153541,True
MTU,MANITOU BF,Manitou BF SA,Industrie,,/mtu-manitou-bf,True,,FR0000032302,True
MAU,MAUREL ET PROM,Etablissements Maurel & Prom S.A.,Energie,/cours/1rPMAU/,/mau-maurel-et-prom,True,True,FR0000051070,True
MRN,MERSEN,Mersen S.A.,Industrie,/cours/1rPMRN/,/mrn-mersen,True,,FR0000039620,True
ALMET,METHANOR,Méthanor SCA,Services aux collectivités,/cours/1rEPALMET/,/almet-methanor,True,True,FR0011217710,True
MMT,METROPOLE TV,Métropole Télévision S.A.,Communication,/cours/1rPMMT/,/mmt-metropole-tv,True,,FR0000053225,True
ALMGI,MG INTERNATIONAL,MG International S.A.,Industrie,/cours/1rPALMGI/,/almgi-mg-international,True,,FR0010204453,True
ML,MICHELIN,Compagnie Générale des Établissements Michelin Société en commandite par actions,Consommation discrétionnaire,,/ml-michelin,True,,FR0000121261,True
ALMOU,MOULINVEST,Moulinvest S.A.,Matériaux,/cours/1rPALMOU/,/almou-moulinvest,True,True,FR0011033083,True
NRO,NEURONES,Neurones S.A.,Technologies,/cours/1rPNRO/,/nro-neurones,True,,FR0004050250,True
NEX,NEXANS,Nexans S.A.,Industrie,/cours/1rPNEX/,/nex-nexans,True,,FR0000044448,True
NXI,NEXITY,Nexity SA,Immobilier,/cours/1rPNXI/,/nxi-nexity,True,,FR0010112524,True
NOKIA,NOKIA,Nokia Oyj,Technologies,/cours/1rPNOKIA/,/nokia-nokia,True,,FI0009000681,True
NRG,NRJ GROUP,NRJ Group SA,Communication,/cours/1rPNRG/,/nrg-nrj-group,True,True,FR0000121691,True
ALNSE,NSE,NSE S.A.,Technologies,/cours/1rPALNSE/,/alnse-nse,True,,FR0004065639,True
ALOBR,OBER,Ober SA,Industrie,/cours/1rEPALOBR/,/alobr-ober,True,True,FR0010330613,True
SBT,OENEO,Oeneo SA,Consommation de base,/cours/1rPSBT/,/sbt-oeneo,True,,FR0000052680,True
ORA,ORANGE,Orange S.A.,Communication,/cours/1rPORA/,/ora-orange,True,,FR0000133308,True
PAR,PAREF,Paref SA,Immobilier,/cours/1rPPAR/,/par-paref,True,,FR0010263202,True
RI,PERNOD RICARD,Pernod Ricard SA,Consommation de base,/cours/1rPRI/,/ri-pernod-ricard-sa,True,,FR0000120693,True
PERR,PERRIER (GERARD),Gérard Perrier Industrie S.A.,Industrie,/cours/1rPPERR/,/perr-perrier-gerard,True,True,FR0000061459,True
ALPDX,PISCINES DESJOYAUX,Piscines Desjoyaux SA,Consommation discrétionnaire,/cours/1rPALPDX/,/alpdx-piscines-desjoyaux,True,,FR0000061608,True
POM,PLASTIC OMNIUM,Compagnie Plastic Omnium SE,Consommation discrétionnaire,/cours/1rPPOM/,/pom-plastic-omnium,True,,FR0000124570,True
ALPJT,POUJOULAT,Poujoulat SA,Industrie,/cours/1rPALPJT/,/alpjt-poujoulat,True,True,FR0000066441,True
PUB,PUBLICIS GROUPE SA,Publicis Groupe S.A.,Communication,/cours/1rPPUB/,/pub-publicis-groupe-sa,True,,FR0000130577,True
QDT,QUADIENT S.A.,Quadient S.A.,Technologies,/cours/1rPQDT/,/qdt-quadient,True,,FR0000120560,True
ALREA,REALITES,Réalités S.A.,Immobilier,/cours/1rPALREA/,/alrea-realites,True,True,FR0011858190,True
RCO,REMY COINTREAU,Rémy Cointreau SA,Consommation de base,/cours/1rPRCO/,/rco-remy-cointreau,True,,FR0000130395,True
RNO,RENAULT,Renault SA,Consommation discrétionnaire,/cours/1rPRNO/,/rno-renault,True,,FR0000131906,True
RXL,REXEL,Rexel S.A.,Industrie,/cours/1rPRXL/,/rxl-rexel,True,,FR0010451203,True
RBT,ROBERTET,Robertet SA,Matériaux,/cours/1rPRBT/,/rbt-robertet,True,True,FR0000039091,True
RBO,ROCHE BOBOIS,Roche Bobois S.A.,Consommation discrétionnaire,/cours/1rPRBO/,/rbo-roche-bobois,True,True,FR0013344173,True
